,Travel_length,Welding_speed,Net_energy_input,Position,Stress
0,50,3500,3000,0,323.864448
1,80,3000,1500,0,303.470976
2,60,3500,1500,0,313.815008
3,60,3000,1500,0,313.032256
4,40,2500,2500,0,321.695872
5,60,2500,2000,0,315.292576
6,50,4000,2000,0,322.09024
7,40,3000,1500,0,318.393792
8,60,2500,2500,0,318.623232
9,70,2500,2500,0,314.927488
10,40,2000,1000,0,311.853056
11,70,2000,2000,0,311.14304
12,60,4000,1000,0,317.575744
13,40,2500,1000,0,315.968256
14,70,2000,1000,0,301.043136
15,50,2500,3000,0,323.7208
16,40,3000,3000,0,323.860128
17,80,3500,1500,0,304.052864
18,50,2500,2500,0,321.025216
19,70,3500,3000,0,317.971392
20,50,3000,1000,0,316.243424
21,80,2500,2000,0,306.356608
22,60,2000,3000,0,321.619648
23,60,3000,1000,0,312.19616
24,60,2000,1500,0,309.91392
25,70,2000,1500,0,305.909632
26,50,2500,1000,0,313.015296
27,40,4000,2500,0,324.355776
28,70,3500,1500,0,309.305408
29,80,2000,2500,0,309.716128
30,50,4000,2500,0,323.327104
31,80,3500,2500,0,310.50112
32,60,3500,2000,0,317.610016
33,70,2000,3000,0,317.537664
34,60,3500,2500,0,319.58976
35,60,3000,2000,0,315.840928
36,40,2500,1500,0,316.025568
37,80,2500,3000,0,312.359616
38,50,3000,2000,0,318.734592
39,70,4000,2500,0,316.5744
40,50,2000,1000,0,308.895456
41,40,2500,3000,0,324.305536
42,80,2500,1500,0,302.172864
43,40,3000,2500,0,321.73552
44,50,3500,2500,0,322.198912
45,60,2000,1000,0,305.238976
46,40,3500,1000,0,323.316864
47,40,3000,1000,0,319.189664
48,70,4000,1000,0,312.873664
49,40,3500,3000,0,324.353312
50,80,4000,1000,0,307.895488
51,50,2000,1500,0,312.862464
52,40,2000,1500,0,315.193408
53,60,3500,3000,0,321.73792
54,60,4000,2500,0,320.123552
55,70,2500,3000,0,317.5712
56,60,4000,3000,0,322.275744
57,70,2000,2500,0,314.829952
58,50,3500,1000,0,319.701216
59,40,4000,1500,0,323.407424
60,80,4000,1500,0,306.149184
61,60,2500,3000,0,321.466816
62,60,2500,1500,0,311.065824
63,80,3500,3000,0,312.77808
64,70,2500,2000,0,311.528352
65,60,2500,1000,0,309.303648
66,40,2000,2500,0,322.169408
67,70,3500,2500,0,315.66784
68,70,3500,1000,0,310.86352
69,80,2000,1500,0,300.786944
70,40,4000,2000,0,323.27328
71,60,4000,2000,0,318.153344
72,70,3000,1500,0,308.924032
73,80,2000,2000,0,306.0216
74,50,3500,2000,0,320.473216
75,40,3500,2500,0,323.284064
76,80,3000,3000,0,312.436896
77,80,4000,3000,0,313.182176
78,60,2000,2500,0,318.46512
79,60,2000,2000,0,315.004608
80,70,4000,2000,0,314.17984
81,80,3000,1000,0,302.665152
82,80,3500,2000,0,308.20448
83,50,2000,2500,0,321.15392
84,80,3000,2500,0,309.746112
85,40,2000,3000,0,324.70624
86,70,4000,1500,0,311.522272
87,80,4000,2000,0,308.392768
88,40,3000,2000,0,320.162688
89,40,4000,3000,0,325.094016
90,70,2500,1500,0,307.25312
91,50,3000,2500,0,321.126336
92,80,2000,3000,0,312.136064
93,80,2500,1000,0,300.122752
94,80,3000,2000,0,306.589056
95,80,2500,2500,0,309.790752
96,60,4000,1500,0,316.328192
97,40,2000,2000,0,318.931968
98,50,3500,1500,0,317.395936
99,70,3000,3000,0,317.657792
100,60,3000,3000,0,321.208384
101,60,3000,2500,0,318.689664
102,50,3000,3000,0,323.53152
103,70,4000,3000,0,318.300736
104,40,3500,1500,0,320.142528
105,50,4000,1000,0,322.0048
106,40,4000,1000,0,325.719104
107,70,3000,2000,0,311.904064
108,60,3500,1000,0,315.259264
109,50,4000,3000,0,324.805792
110,70,3000,2500,0,315.247936
111,50,2000,2000,0,317.48736
112,70,2500,1000,0,305.05344
113,80,2000,1000,0,296.171904
114,50,4000,1500,0,320.250592
115,40,2500,2000,0,319.2432
116,70,3500,2000,0,313.309664
117,80,3500,1000,0,305.694272
118,50,2500,2000,0,318.077696
119,50,3000,1500,0,316.060064
120,40,3500,2000,0,322.025728
121,80,4000,2500,0,310.668736
122,50,2500,1500,0,313.852832
123,50,2000,3000,0,324.034944
124,70,3000,1000,0,307.363232
125,50,3500,3000,0.85,331.0865479
126,80,3000,1500,0.85,317.132412
127,60,3500,1500,0.85,327.1023767
128,60,3000,1500,0.85,324.5454949
129,40,2500,2500,0.85,326.7979531
130,60,2500,2000,0.85,322.2658263
131,50,4000,2000,0.85,332.0886255
132,40,3000,1500,0.85,328.0270071
133,60,2500,2500,0.85,324.4713965
134,70,2500,2500,0.85,321.7203382
135,40,2000,1000,0.85,320.9235424
136,70,2000,2000,0.85,317.7288653
137,60,4000,1000,0.85,334.5426795
138,40,2500,1000,0.85,325.2655124
139,70,2000,1000,0.85,314.1197018
140,50,2500,3000,0.85,328.2240516
141,40,3000,3000,0.85,330.1094366
142,80,3500,1500,0.85,319.3833666
143,50,2500,2500,0.85,326.1841812
144,70,3500,3000,0.85,326.2585096
145,50,3000,1000,0.85,329.5374537
146,80,2500,2000,0.85,315.2238778
147,60,2000,3000,0.85,325.6200709
148,60,3000,1000,0.85,327.013269
149,60,2000,1500,0.85,317.4941772
150,70,2000,1500,0.85,314.4900803
151,50,2500,1000,0.85,323.6926061
152,40,4000,2500,0.85,333.7816815
153,70,3500,1500,0.85,323.6880155
154,80,2000,2500,0.85,316.1317559
155,50,4000,2500,0.85,332.3099021
156,80,3500,2500,0.85,320.6061328
157,60,3500,2000,0.85,327.5243438
158,70,2000,3000,0.85,322.4602062
159,60,3500,2500,0.85,327.9832414
160,60,3000,2000,0.85,324.6624333
161,40,2500,1500,0.85,324.274944
162,80,2500,3000,0.85,319.5443748
