bead_length,voltage,current,travel_speed,thermol_efficiency,energy_input,bead_width,bead_depth,1,2,3,4,5,6,7,8,9,10
40.0,20.0,100.0,2500.0,0.75,1000.0,0.002450607,0.001784303,309043072.0,295844288.0,292362496.0,293844960.0,298677344.0,308874880.0,325354848.0,270884864.0,156009664.0,176740192.0
40.0,20.0,125.0,2500.0,0.8,1000.0,0.002450607,0.001784303,309043072.0,295844288.0,292362496.0,293844960.0,298677344.0,308874880.0,325354848.0,270884864.0,156009664.0,176740192.0
40.0,20.0,200.0,2500.0,0.75,1000.0,0.002450607,0.001784303,309043072.0,295844288.0,292362496.0,293844960.0,298677344.0,308874880.0,325354848.0,270884864.0,156009664.0,176740192.0
40.0,25.0,100.0,2500.0,0.8,1000.0,0.002450607,0.001784303,309043072.0,295844288.0,292362496.0,293844960.0,298677344.0,308874880.0,325354848.0,270884864.0,156009664.0,176740192.0
40.0,25.0,125.0,2500.0,0.8,1000.0,0.002450607,0.001784303,309043072.0,295844288.0,292362496.0,293844960.0,298677344.0,308874880.0,325354848.0,270884864.0,156009664.0,176740192.0
40.0,25.0,150.0,2500.0,0.8,1000.0,0.002450607,0.001784303,309043072.0,295844288.0,292362496.0,293844960.0,298677344.0,308874880.0,325354848.0,270884864.0,156009664.0,176740192.0
40.0,25.0,160.0,2500.0,0.75,1000.0,0.002450607,0.001784303,309043072.0,295844288.0,292362496.0,293844960.0,298677344.0,308874880.0,325354848.0,270884864.0,156009664.0,176740192.0
40.0,30.0,125.0,2500.0,0.8,1000.0,0.002450607,0.001784303,309043072.0,295844288.0,292362496.0,293844960.0,298677344.0,308874880.0,325354848.0,270884864.0,156009664.0,176740192.0
40.0,32.0,125.0,2500.0,0.75,1000.0,0.002450607,0.001784303,309043072.0,295844288.0,292362496.0,293844960.0,298677344.0,308874880.0,325354848.0,270884864.0,156009664.0,176740192.0
40.0,37.5,100.0,2500.0,0.8,1000.0,0.002450607,0.001784303,309043072.0,295844288.0,292362496.0,293844960.0,298677344.0,308874880.0,325354848.0,270884864.0,156009664.0,176740192.0
40.0,40.0,100.0,2500.0,0.75,1000.0,0.002450607,0.001784303,309043072.0,295844288.0,292362496.0,293844960.0,298677344.0,308874880.0,325354848.0,270884864.0,156009664.0,176740192.0
40.0,20.0,100.0,3000.0,0.75,1000.0,0.002434145,0.001482563,310322880.0,296800128.0,293625472.0,295673120.0,302002176.0,315247616.0,307910528.0,221465792.0,79341968.0,161686848.0
